model_DE,model,study,country,parameter,site,mean.d,SD.d,total.d,mean.c,SD.c,total.c
CBA/J mice,BTX_CBA/J mice,lin 2014,Guangzhou,IL-1β,ocular suface,30000,5000,5,6000,500,5
CBA/J mice,BTX_CBA/J mice,lin 2014,Guangzhou,TNF-α,ocular suface,40000,10000,5,10000,500,5
C57BL/6 mice,SI mice,McClellan 2014,Houston,CCL20,corneal,4,1,3,1,0.1,3
C57BL/6 mice,SI mice,McClellan 2014,Houston,CD4 T cells,conjunctiva,1.5,0.3,3,0.5,0.1,5
C57BL/6 mice,SI mice,McClellan 2014,Houston,CD8 T cells,conjunctiva,0.14,0.3,3,0.8,0.1,5
C57BL/6 mice,SI mice,McClellan 2014,Houston,IFN-γ,conjunctiva,3,1.5,3,1,0.1,3
C57BL/6 mice,SI mice,McClellan 2014,Houston,IL-17A,corneal,13,1,3,1,0.1,3
IL-1RKO,IL-1RKO,Narayanan 2008,Houston,IL-1α,corneal,0.2,0.1,3,0.4,0.1,3
IL-1RKO,IL-1RKO,Narayanan 2008,Houston,IL-1β,corneal,1.6,0.1,3,0.5,0.1,3
IL-1RKO,IL-1RKO,Narayanan 2008,Houston,IL-6,corneal,0.3,0.4,3,0.4,0.4,3
IL-1RKO,IL-1RKO,Narayanan 2008,Houston,TNF-α,corneal,2.3,0.5,3,2,0.1,3
B6129SF2/J,SI mice,Narayanan 2008,Houston,IL-1α,corneal,1.2,0.4,3,1,0.1,3
B6129SF2/J,SI mice,Narayanan 2008,Houston,IL-1β,corneal,1.3,0.3,3,1,0.1,3
B6129SF2/J,SI mice,Narayanan 2008,Houston,IL-6,corneal,1.3,0.5,3,1,0.1,3
B6129SF2/J,SI mice,Narayanan 2008,Houston,TNF-α,corneal,2,0.4,3,1,0.1,3
NOD mice,NOD mice,Park 2017,Incheon,IL-17,serum,420,100,7,300,50,7
wistar rats,LGR_wistar rats,Park 2018,Daejeon,IL-6,corneal,1.7,0.1,3,1,0.4,3
wistar rats,LGR_wistar rats,Park 2018,Daejeon,TNF-α,corneal,1.9,0.3,3,1,0.1,3
CD25KO mice,CD25KO mice,Pelegrino 2012,Houston,CD4 T cells,Lacrimal,18,5,5,6,4,5
CD25KO mice,CD25KO mice,Pelegrino 2012,Houston,CD8 T cells,Lacrimal,49,5,5,3,2,5
IFN-γKO,IFN-γKO,Pelegrino 2012,Houston,CD4 T cells,Lacrimal,8,5,5,6,4,5
IFN-γKO,IFN-γKO,Pelegrino 2012,Houston,CD8 T cells,Lacrimal,3,3,5,3,2,5
C57BL/6 mice,BAC_B6,Qu 2019,Qingdao,IFN-γ,corneal,2.8,0.5,5,1,0.1,5
C57BL/6 mice,BAC_B6,Qu 2019,Qingdao,IL-17A,corneal,8,2,5,1,0.1,5
C57BL/6 mice,BAC_B6,Qu 2019,Qingdao,IL-1β,corneal,2.5,1,5,1,0.1,5
C57BL/6 mice,BAC_B6,Qu 2019,Qingdao,IL-6,corneal,7,3,5,1,0.1,5
CD25KO mice,CD25KO mice,Rahimy 2010,Houston,CCL20,Lacrimal,400,0.1,5,1,0.1,5
CD25KO mice,CD25KO mice,Rahimy 2010,Houston,CD4 T cells,Lacrimal,20,10,5,10,5,5
CD25KO mice,CD25KO mice,Rahimy 2010,Houston,CD8 T cells,Lacrimal,47,10,5,8,2,5
CD25KO mice,CD25KO mice,Rahimy 2010,Houston,IFN-γ,Lacrimal,21,0.1,5,1,0.1,5
CD25KO mice,CD25KO mice,Rahimy 2010,Houston,IL-12,Lacrimal,150,0.1,5,1,0.1,5
CD25KO mice,CD25KO mice,Rahimy 2010,Houston,IL-17A,Lacrimal,4,0.1,5,1,0.1,5
CD25KO mice,CD25KO mice,Rahimy 2010,Houston,IL-2,Lacrimal,27,0.1,5,1,0.1,5
CD25KO mice,CD25KO mice,Rahimy 2010,Houston,IL-21,Lacrimal,100,0.1,5,1,0.1,5
CD25KO mice,CD25KO mice,Rahimy 2010,Houston,IL-23R,Lacrimal,7,0.1,5,1,0.1,5
CD25KO mice,CD25KO mice,Rahimy 2010,Houston,TGF-β,Lacrimal,3,0.1,5,1,0.1,5
C57BL/6 mice,DS mice,Reins 2017,Houston,CXCL1,ocular suface,20,5,5,10,4,5
C57BL/6 mice,DS mice,Reins 2017,Houston,IL-1α,ocular suface,29,2,5,26,5,5
C57BL/6 mice,DS mice,Reins 2017,Houston,IL-2,ocular suface,8,3,5,6,2,5
C57BL/6 mice,DS mice,Reins 2017,Houston,IL-9,ocular suface,200,10,5,150,50,5
IL-1RKO,IL-1RKO,Reins 2017,Houston,CXCL1,corneal,14,1,5,6,0.5,5
IL-1RKO,IL-1RKO,Reins 2017,Houston,IL-1α,corneal,20,5,5,15,3,5
IL-1RKO,IL-1RKO,Reins 2017,Houston,IL-2,corneal,3.7,0.7,5,2.1,0.1,5
IL-1RKO,IL-1RKO,Reins 2017,Houston,IL-9,corneal,60,8,5,55,5,5
wistar rats,SI rats,Ru 2015,Tianjin,IFN-γ,,6,0.6,6,2.8,0.4,6
wistar rats,SI rats,Ru 2015,Tianjin,IL-1β,,12,3,6,2.6,1,6
wistar rats,SI rats,Ru 2015,Tianjin,TNF-α,,2.9,0.3,6,1,0.1,6
Albino rabbit,AS_albino,Sendon-Lago 2019,Santiago de Compostela,CCL2,corneal,20,2,6,1,0.1,6
Albino rabbit,AS_albino,Sendon-Lago 2019,Santiago de Compostela,CXCL2,corneal,12,3,6,1,0.1,6
Albino rabbit,AS_albino,Sendon-Lago 2019,Santiago de Compostela,IL-6,corneal,14,1,6,1,0.1,6
Albino rabbit,AS_albino,Sendon-Lago 2019,Santiago de Compostela,TNF-α,corneal,45,5,6,1,0.1,6
C57BL/6 mice,SI mice,sung 2015,Gwangju,CD4 T cells,conjunctiva ,64.36,15.19,5,16.05,5.22,5
